product_id,url,name,current_price,original_price,image,unit,in_stock
"B07MJC2KYJ","https://www.amazon.in/dp/B07MJC2KYJ","PetCrux Smart Clump Cat Litter 10kg 100% Natural Bentonite Odour Lock Lavender and Lemon Scented Clay Dust Free Premium Absorbent Eco-Friendly Sand for All Breeds of Cats 2 Packs of 5 Kgs (Combo)","699.00","1100","https://m.media-amazon.com/images/I/71Beka2U6qL._SY450_PIbundle-2,TopRight,0,0_AA450SH20_.jpg","10 kg","In Stock"
"B07NZVG8SC","https://www.amazon.in/dp/B07NZVG8SC","PetCrux Smart Clump Cat Litter 20Kg, 100% Natural Bentonite Odour Lock Lavender Scented Clay, Dust Free, 4 Packs of 5 Kgs (Combo)","1299.00","2200","https://m.media-amazon.com/images/I/71SRGLxq8xL._SY450_.jpg","20 kg","In Stock"
"B08XM1QHF1","https://www.amazon.in/dp/B08XM1QHF1","PetCrux Eco Clump Cat Litter | Natural Bentonite Clay | Pet Friendly Lavender Essential Oils | Superior Odour Control | 99.9% Dust Free Scoopable (for Multiple Cats), 10kg Total - 2 Packs of 5kg","655.00","900","https://m.media-amazon.com/images/I/61FR8qqzJ4L._SY450_.jpg","9 kg 500 g","In Stock"
"B08VGKS3TG","https://www.amazon.in/dp/B08VGKS3TG","PetCrux Eco Clump Cat Litter 20Kg, 100% Natural Bentonite Odour Lock Lavender Scented Clay, Dust Free, 4 Packs of 5 Kgs (Combo)","1148.00","1800","https://m.media-amazon.com/images/I/61x0MOyBV4L._SY450_.jpg","5 kg","In Stock"
"B0DHL887MF","https://www.amazon.in/dp/B0DHL887MF","Petcrux Adult Dog Food Chicken & Rice, Complete Balanced Food for Adult Dogs, 10Kg","1199.00","1499","https://m.media-amazon.com/images/I/61GG7tjBVrL._SY450_.jpg","10 kg","In Stock"
"B07MQ65HG5","https://www.amazon.in/dp/B07MQ65HG5","PetCrux Smart Clump Cat Litter 5kg 100% Natural Bentonite Odour lock Lavender and Lemon Scented Clay Dust Free Trial or Travel or Single Pack Premium Absorbent Eco-Friendly Sand for all Breeds of Cats","399.00","550","https://m.media-amazon.com/images/I/71MdPj2G50L._SY450_.jpg","5 kg","In Stock"
"B09X7CZ83B","https://www.amazon.in/dp/B09X7CZ83B","PetCrux Eco Clump Cat Litter 10Kg 100% Natural Odour Lock Unscented Clay Dust Free Fragrance Free Absorbent Eco-Friendly Sand for All Breeds of Cats 2 Packs of 5 Kgs (Combo)","589.00","900","https://m.media-amazon.com/images/I/71gD-wMuAML._SY450_.jpg","5 kg","In Stock"
"B08XM8PQ9N","https://www.amazon.in/dp/B08XM8PQ9N","PetCrux Eco Clump Cat Litter | Natural Bentonite Clay | Pet Friendly Lavender Essential Oils | Superior Odour Control | 99.9% Dust Free Scoopable (for Multiple Cats), 15kg Total - 3 Packs of 5kg","949.00","1350","https://m.media-amazon.com/images/I/61wB+TKTS0L._SY450_.jpg","5 kg","In Stock"
"B09X7G1SMN","https://www.amazon.in/dp/B09X7G1SMN","PetCrux Eco Clump Cat Litter 15Kg 100% Natural Odour Lock Unscented Clay Dust Free Fragrance Free Absorbent Eco-Friendly Sand for All Breeds of Cats 3 Packs of 5 Kgs (Combo)","799.00","1350","https://m.media-amazon.com/images/I/71ITEwwcNGL._SY450_.jpg","5 kg","In Stock"
"B0C2PZQ5RT","https://www.amazon.in/dp/B0C2PZQ5RT","PetCrux Earthy Clump Cat Litter 10Kg 100% Natural Bentonite Odour Lock Lavender Scented Clay Dust Free Absorbent Eco-Friendly Sand for All Breeds of Cats 2 Packs of 5 Kgs (Combo)","499.00","1100","https://m.media-amazon.com/images/I/51ciHiMneHL._SY450_PIbundle-2,TopRight,0,0_AA450SH20_.jpg","10 kg","In Stock"
"B08V8JN3DW","https://www.amazon.in/dp/B08V8JN3DW","PetCrux Smart Clump Cat Litter 2Kg 100% Natural Bentonite Odour Lock Lavender and Lemon Scented Clay Dust Free Trial or Travel or Single Pack Premium Absorbent Eco-Friendly Sand for all Breeds of Cats","199.00","250","https://m.media-amazon.com/images/I/71MKfnvoqWL._SY606_.jpg","1 kg 900 g","In Stock"
"B08JM77FBZ","https://www.amazon.in/dp/B08JM77FBZ","PetCrux Tofu Cat Litter 5Kg 100% Natural Biodegradable Odour Lock Corn Scented Dust Free Clay Absorbent Eco-Friendly Flushable Sand for All Breeds of Cats 2 Packs of 2.5 Kgs (Combo)","969.00","1900","https://m.media-amazon.com/images/I/71ArM6s2mqL._SX450_.jpg","4 kg 800 g","In Stock"
"B082Z5RX5S","https://www.amazon.in/dp/B082Z5RX5S","PetCrux Go Exclusive Bentonite Jasmine Cat Litter 10Kg 100% Natural Bentonite Odour Lock Jasmine Scented Dust Free Clay Premium Absorbent Eco-Friendly Sand for All Cat Breeds 2 Packs of 5 Kgs (Combo)","1049.00","1100","https://m.media-amazon.com/images/I/71Pmj6DpFoL._SY450_PIbundle-2,TopRight,0,0_AA450SH20_.jpg","10 kg","In Stock"
"B07NS31G48","https://www.amazon.in/dp/B07NS31G48","PetCrux Organic Pine Wood Cat Litter 10Kg 100% Natural Biodegradable Odour Lock Unscented Dust Free Clay Absorbent Eco-Friendly Sand for All Breeds of Cats 2 Packs of 5 Kgs (Combo)","1399.00","1780","https://m.media-amazon.com/images/I/6184RrgQmrL._SY450_PIbundle-2,TopRight,0,0_AA450SH20_.jpg","10 kg","In Stock"
"B0F1XZBBBV","https://www.amazon.in/dp/B0F1XZBBBV","PetCrux Pet Exclusive White Sand Lavender Scented Cat Litter | Made with The Highest Grade White Sand | Superior Odour Control | 99.9% Dust Free Scoopable (for Multiple Cats), 5kg, Pack of 2","899.00","1200","https://m.media-amazon.com/images/I/61UcrjJq6JL._SY450_.jpg","5 kg","In Stock"
"B07NS44Q6C","https://www.amazon.in/dp/B07NS44Q6C","PetCrux Organic Pine Wood Cat Litter 5Kg 100% Natural Biodegradable Odour Lock Unscented Dust Free Clay Trial or Travel or Single Pack of Absorbent Eco-Friendly Sand for All Breeds of Cats","499.00","890","https://m.media-amazon.com/images/I/713XbqH3NUL._SY606_.jpg","5 kg","In Stock"
"B0DHL7XBNK","https://www.amazon.in/dp/B0DHL7XBNK","Petcrux Puppy Dry Food Chicken & Egg, Complete Nutrition for Puppy, 3Kg","399.00","550","https://m.media-amazon.com/images/I/717l5Q83rCL._SY450_.jpg","3 kg","In Stock"
